t_s,lidar_m,throttle_ch3
0.0,0.0500,1000
0.5,0.0500,1000
1.0,0.0500,1000
1.5,0.0500,1000
2.0,0.0500,1000
2.5,0.0500,1000
3.0,0.0500,1000
3.5,0.0500,1000
4.0,0.0500,1000
4.5,0.0500,1000
5.0,0.0500,1000
5.5,0.0500,1000
6.0,0.0500,1000
6.5,0.0500,1000
7.0,0.0500,1000
7.5,0.0500,1000
8.0,0.0500,1000
8.5,0.0500,1000
9.0,0.0500,1000
9.5,0.0500,1000
10.0,0.0500,1000
10.5,0.0500,1000
11.0,0.0500,1000
11.5,0.0500,1000
12.0,0.0500,1000
12.5,0.0500,1000
13.0,0.0500,1000
13.5,0.0500,1000
14.0,0.0500,1000
14.5,0.0500,1000
15.0,0.0500,1000
15.5,0.0500,1000
16.0,0.0500,1000
16.5,0.0500,1000
17.0,0.0500,1000
17.5,0.0500,1000
18.0,0.0500,1000
18.5,0.0500,1000
19.0,0.0500,1600
19.5,0.5168,1600
20.0,1.0638,1600
20.5,1.4762,1600
21.0,1.8858,1600
21.5,2.2606,1600
22.0,2.6758,1600
22.5,3.1308,1500
23.0,3.4268,1500
23.5,3.6588,1450
24.0,3.7490,1450
24.5,3.8714,1450
25.0,4.0108,1450
25.5,4.1656,1450
26.0,4.3402,1450
26.5,4.5574,1450
27.0,4.8052,1450
27.5,5.0814,1450
28.0,5.3836,1450
28.5,5.7098,1450
29.0,6.0786,1450
29.5,6.4784,1450
30.0,6.9112,1450
30.5,7.3688,1450
31.0,7.8352,1450
31.5,8.2802,1450
32.0,8.7082,1450
32.5,9.1440,1450
33.0,9.5554,1450
33.5,9.9046,1450
34.0,10.2450,1450
34.5,10.5714,1450
35.0,10.9022,1450
35.5,11.2006,1450
36.0,11.4982,1450
36.5,11.7964,1450
37.0,12.0796,1450
37.5,12.3524,1450
38.0,12.6138,1450
38.5,12.8490,1450
39.0,13.1038,1450
39.5,13.3296,1450
40.0,13.5362,1450
40.5,13.7558,1450
41.0,13.9544,1450
41.5,14.1452,1450
42.0,14.3476,1450
42.5,14.5352,1450
43.0,14.7348,1450
43.5,14.9230,1450
44.0,15.0782,1450
44.5,15.2784,1450
45.0,15.4532,1450
45.5,15.6108,1450
46.0,15.7632,1450
46.5,15.8534,1450
47.0,16.0186,1450
47.5,16.1050,1450
48.0,16.1864,1450
48.5,16.2716,1450
49.0,16.3070,1450
49.5,16.2944,1450
50.0,16.3404,1450
50.5,16.3128,1450
51.0,16.3368,1450
51.5,16.3336,1450
52.0,16.3228,1450
52.5,16.3112,1450
53.0,16.2772,1450
53.5,16.2880,1450
54.0,16.2000,1450
54.5,16.1724,1450
55.0,16.0772,1450
55.5,16.0526,1450
56.0,15.9456,1450
56.5,15.8822,1450
57.0,15.8530,1450
57.5,15.8530,1450
58.0,15.8530,1500
58.5,15.8530,1500
59.0,15.8530,1500
59.5,15.8530,1500
60.0,15.8530,1500
60.5,15.8530,1500
61.0,15.8530,1500
61.5,15.8530,1500
62.0,16.1832,1450
62.5,16.1188,1450
63.0,16.0510,1450
63.5,15.9854,1450
64.0,15.9294,1450
64.5,15.8814,1450
65.0,15.8044,1450
65.5,15.7242,1450
66.0,15.6682,1450
66.5,15.5952,1450
67.0,15.5032,1450
67.5,15.4032,1450
68.0,15.3032,1450
68.5,15.1976,1450
69.0,15.0574,1450
69.5,14.9284,1450
70.0,14.7970,1450
70.5,14.6598,1450
71.0,14.5134,1450
71.5,14.3674,1450
72.0,14.2300,1450
72.5,14.0802,1450
73.0,13.9342,1450
73.5,13.7866,1450
74.0,13.6526,1450
74.5,13.5208,1450
75.0,13.4056,1450
75.5,13.2892,1450
76.0,13.1606,1450
76.5,13.0508,1450
77.0,12.9448,1450
77.5,12.8404,1450
78.0,12.7436,1450
78.5,12.6736,1450
79.0,12.5926,1450
79.5,12.5136,1450
80.0,12.4358,1450
80.5,12.3688,1450
81.0,12.2830,1450
81.5,12.2332,1450
82.0,12.1714,1450
82.5,12.1318,1450
83.0,12.1082,1450
83.5,12.0792,1450
84.0,12.0448,1450
84.5,12.0080,1450
85.0,11.9818,1450
85.5,11.9678,1450
86.0,11.9184,1450
86.5,11.8718,1450
87.0,11.8252,1450
87.5,11.7696,1450
88.0,11.6998,1450
88.5,11.6420,1450
89.0,11.5770,1450
89.5,11.5098,1450
90.0,11.4232,1450
90.5,11.3542,1450
91.0,11.2762,1450
91.5,11.2124,1450
92.0,11.1544,1450
92.5,11.0856,1450
93.0,11.0048,1450
93.5,10.9280,1450
94.0,10.8644,1450
94.5,10.7988,1450
95.0,10.7508,1450
95.5,10.6850,1450
96.0,10.6534,1450
96.5,10.6236,1450
97.0,10.6146,1450
97.5,10.5776,1450
98.0,10.5544,1450
98.5,10.5266,1450
99.0,10.4884,1450
99.5,10.4698,1450
100.0,10.4210,1450
100.5,10.3276,1450
101.0,10.2870,1450
101.5,10.2426,1450
102.0,10.1896,1450
102.5,10.1528,1450
103.0,10.0892,1450
103.5,10.0216,1450
104.0,9.9754,1450
104.5,9.8844,1450
105.0,9.8214,1450
105.5,9.7264,1450
106.0,9.6516,1450
106.5,9.5764,1450
107.0,9.5258,1450
107.5,9.4306,1450
108.0,9.3658,1450
108.5,9.2942,1450
109.0,9.2290,1450
109.5,9.1686,1450
110.0,9.0874,1450
110.5,9.0324,1450
111.0,8.9628,1450
111.5,8.9140,1450
112.0,8.8472,1450
112.5,8.7974,1450
113.0,8.7372,1450
113.5,8.6674,1450
114.0,8.5702,1450
114.5,8.4886,1450
115.0,8.3802,1450
115.5,8.2510,1450
116.0,8.1846,1450
116.5,8.0736,1450
117.0,7.9612,1450
117.5,7.8516,1450
118.0,7.7602,1450
118.5,7.6464,1450
119.0,7.5732,1450
119.5,7.5066,1450
120.0,7.4174,1450
120.5,7.3532,1450
121.0,7.3044,1450
121.5,7.2794,1450
122.0,7.2472,1450
122.5,7.2074,1450
123.0,7.1502,1450
123.5,7.1008,1450
124.0,7.0372,1450
124.5,6.9812,1450
125.0,6.9022,1450
125.5,6.8360,1450
126.0,6.7696,1450
126.5,6.7090,1450
127.0,6.6336,1450
127.5,6.5720,1450
128.0,6.5142,1450
128.5,6.4468,1450
129.0,6.3692,1450
129.5,6.2884,1450
130.0,6.1668,1450
130.5,6.0618,1450
131.0,5.9324,1450
131.5,5.7974,1450
132.0,5.6928,1450
132.5,5.5736,1450
133.0,5.3824,1450
133.5,5.2082,1450
134.0,5.0210,1450
134.5,4.8564,1450
135.0,4.6894,1450
135.5,4.5214,1450
136.0,4.3468,1450
136.5,4.1640,1450
137.0,3.9912,1450
137.5,3.7926,1450
138.0,3.5958,1450
138.5,3.3864,1500
139.0,3.3248,1500
139.5,3.3376,1500
140.0,3.3138,1500
140.5,3.3338,1500
141.0,3.3150,1500
141.5,3.2954,1500
142.0,3.2814,1500
142.5,3.2614,1500
143.0,3.2614,1500
143.5,3.2644,1500
144.0,3.2650,1500
144.5,3.2742,1500
145.0,3.2746,1500
145.5,3.2660,1500
146.0,3.2716,1500
146.5,3.2818,1500
147.0,3.2896,1500
147.5,3.3096,1500
148.0,3.3138,1500
148.5,3.3194,1500
149.0,3.3268,1500
149.5,3.3298,1500
150.0,3.3420,1500
150.5,3.3420,1500
151.0,3.3156,1500
151.5,3.3418,1500
152.0,3.3638,1500
152.5,3.4074,1500
153.0,3.4180,1500
153.5,3.5112,1450
154.0,3.4768,1500
154.5,3.4142,1500
155.0,3.4666,1500
155.5,3.4972,1500
156.0,3.4462,1500
156.5,3.4422,1500
157.0,3.4860,1500
157.5,3.5014,1500
158.0,3.4510,1500
158.5,3.4208,1500
159.0,3.4400,1500
159.5,3.4476,1500
160.0,3.4612,1500
160.5,3.4834,1500
161.0,3.4926,1500
161.5,3.4868,1500
162.0,3.4694,1500
162.5,3.4730,1500
163.0,3.4902,1500
163.5,3.4842,1500
164.0,3.4832,1500
164.5,3.5116,1450
165.0,3.4370,1500
165.5,3.4024,1500
166.0,3.4200,1500
166.5,3.4360,1500
167.0,3.4646,1500
167.5,3.4458,1500
168.0,3.3850,1500
168.5,3.4456,1500
169.0,3.2396,1500
169.5,2.8360,1500
170.0,2.4438,1550
170.5,2.0928,1550
171.0,1.6824,1550
171.5,1.3058,1550
172.0,1.0520,1550
172.5,0.7312,1550
173.0,0.3776,1550
173.5,0.0518,1550
174.0,0.1190,1550
174.5,0.0934,1550
175.0,0.0932,1550
175.5,0.0936,1550
176.0,0.0938,1550
176.5,0.0930,1550
177.0,0.0928,1550
177.5,0.0930,1550
178.0,0.0932,1550
178.5,0.0928,1550
179.0,0.0936,1550
179.5,0.0928,1550
180.0,0.0926,1550
180.5,0.0934,1550
181.0,0.0930,1550
181.5,0.0928,1550
182.0,0.0934,1550
182.5,0.0932,1550
183.0,0.0934,1550
